year,y_studied
1867,1000
1867,1300
1868,1300
1868,1400
1868,1382
1868,1490
1868,1000
1868,1235
1869,1300
1869,1382
1869,900
1869,1000
1869,1100
1869,1200
1869,1300
1869,1400
1869,1500
1869,1526
1869,1222
1869,1444
1870,1400
1870,1500
1870,1100
1870,1200
1870,1300
1871,1100
1871,1200
1871,1300
1871,1400
1871,1500
1871,1456
1872,1400
1872,1500
1872,1514
1872,1490
1872,1100
1872,1200
1872,1300
1873,1243
1873,1100
1873,1200
1873,1300
1873,1400
1873,1500
1873,1347
1873,1492
1874,1400
1874,1200
1874,1300
1874,1500
1874,1201
1874,1235
1874,1241
1874,1245
1876,1500
1876,900
1876,1000
1876,1514
1878,1000
1878,1100
1878,1300
1878,1400
1902,1382
1902,1473
1902,1000
1902,1031
1902,1241
1913,1435
1913,1000
1913,1100
1913,1200
1913,1300
1913,1395
1913,1401
1913,1411
1913,1386
1913,1500
1917,1300
1917,1400
1917,1500
1917,1485
1917,1000
1918,1505
1918,1522
1918,1000
1918,1100
1918,1475
1918,1300
1918,1400
1918,1500
1922,900
1922,1000
1922,1400
1922,1500
1922,1272
1925,1437
1925,1000
1925,1100
1925,1200
1925,1300
1925,1400
1925,1500
1925,1473
1925,1009
1930,1200
1930,1300
1930,1386
1930,1393
1930,1414
1939,1156
1939,1300
1939,1400
1939,1500
1940,600
1940,700
1940,800
1940,900
1940,1000
1953,1358
1968,1300
1968,1400
1968,1500
1969,1464
1969,1468
1969,1471
1969,1494
1969,1507
1969,1515
1969,1526
1975,1500
1975,1521
1975,1382
1975,1437
1984,1300
1984,1400
1984,1000
1984,1100
1989,1100
1989,1200
1989,1300
1989,1400
1989,1500
1989,1211
1989,1222
1989,1426
1989,1197
1989,1000
2000,1000
2000,1440
2000,1448
2001,1000
2001,1100
2001,1235
2001,1505
2001,1500
2003,1310
2003,1323
2003,1400
2003,1500
2003,1200
2003,1300
2003,1000
2003,1100
2003,1063
2003,1213
2003,1270
2003,1232
2003,1273
2004,1100
2004,1200
2004,1300
2004,1500
2010,1435
2010,1414
2010,1418
2010,1490
2010,1492
2010,1435
2010,1455
2010,1421
2010,1055
2010,1075
2010,1387
2010,1424
2011,1100
2011,1200
2011,1300
2011,1490
2011,1492
2015,1200
2015,1300
2015,1400
2015,1500
2015,1235
2015,1457
2016,1100
2016,1200
2016,1300
2016,1400
2016,1500
2021,1472
2021,1486
2021,1487
2021,1488
2021,1493
2021,1504
2021,1511
2021,1515
2021,1516
2021,1435
2021,1300
2021,1250
2021,1260
2021,700
2021,800
2021,900
2021,1000
2021,1100
2021,1200
2021,1300
2021,1400
2021,1500
2024,1031
2024,1100
2024,1200
2024,1300
2024,1400
2024,1222
1978,1200
1994,1387
1994,1437
1994,1490
1994,1526
1994,1232
1994,1247
1994,1277
1994,1300
1994,1259
1994,1261
1994,1284
1994,1150
1994,1186
1994,1187
1994,1181
1994,1162
1909,1424
1909,1509
1909,1435
2022,1458
2022,1490
2022,1516
2022,1526
2022,1525
2022,1243
2022,1300
2022,1400
2022,1196
2022,1214
2022,1437
2022,1440
2022,1041
2022,1044
2022,1400
2022,1350
2022,1322
2022,1317
2022,1250
2022,1278
2022,1248
2022,1400
2022,1279
1905,1521
1905,1350
1905,1400
1905,1070
1905,1111
1905,1350
1905,1400
1905,1126
1905,1146
1905,1151
1905,1167
1905,1171
1905,1194
1905,1047
1905,1300
1905,1274
1905,1302
1905,1304
1905,1305
1905,1308
1905,1309
1905,1312
1905,1316
1905,1317
1905,1319
1905,1321
1905,1322
1905,1323
1905,1324
1905,1329
1905,1330
1905,1331
1905,1332
1905,1333
1905,1334
1905,1336
1905,1339
1905,1340
1905,1345
1905,1346
1905,1347
1905,1348
1905,1349
1905,1350
1905,1352
1905,1354
1905,1357
1905,1358
1905,1359
1905,1360
1905,1364
1905,1365
1905,1366
1905,1368
1905,1369
1905,1370
1905,1371
1905,1372
1905,1377
1905,1380
1905,1382
1905,1387
1905,1388
1905,1389
1905,1392
1905,1394
1905,1395
1905,1396
1905,1397
1905,1398
1905,1399
1905,1400
1957,1444
1957,1456
1963,1100
1963,1200
1974,1100
1974,1074
1974,1057
1974,1077
1974,1041
1974,1063
1974,1400
1974,1200
1974,1300
1974,791
1974,883
1974,796
