year,y_studied
1974,1200
1974,1300
1974,1514
1960,900
1960,1000
2004,1392
2004,1437
2004,1300
2004,1400
2004,1440
2004,1514
2004,1405
2004,1474
2004,1349
2004,1264
2004,1512
2004,1516
2004,1445
2004,1375
2004,1433
2004,1446
2004,1442
2004,1411
2004,1511
2004,1500
2004,1238
2004,1255
2004,1263
2004,1275
2004,1364
2004,1426
2004,1332
2004,1402
2023,1235
2023,1244
2023,1276
2023,1502
2023,1503
2023,1323
2023,1329
2023,1492
2023,1347
2023,1357
2023,1405
2023,1526
2023,1458
2023,1490
2023,1411
2023,1437
2023,1439
2023,1444
2023,1446
2023,1453
2023,1464
2023,1003
2023,1007
1978,1477
1978,1458
1978,1490
1978,1489
2018,1100
2018,1200
2018,1300
2018,1219
2018,1221
2018,1241
2018,1263
2018,1264
2018,1275
2018,1281
2018,1286
2018,1250
2018,1260
2018,1526
2018,1351
2018,1514
2018,1254
2018,1324
2018,1351
2018,1391
2018,1397
2018,1401
2018,1405
2018,1407
2018,1435
2018,1437
2018,1444
2018,1445
2018,1454
2018,1458
2018,1459
2018,1463
2018,1468
2018,1470
2018,1471
2018,1474
2018,1475
2018,1482
2018,1486
2018,1492
2018,1495
2018,1498
2018,1504
2018,1514
2018,1300
2018,1100
2018,1200
2018,1294
2018,1400
1964,1301
1964,1332
1964,1222
1964,1223
1964,1224
1964,1234
1964,1247
1964,1250
1964,1252
1964,1256
1964,1260
1964,1262
1964,1263
1964,1347
1964,1270
1964,1350
1964,1283
1964,1285
1964,1367
1964,1291
1964,1292
1964,1293
1964,1294
1964,1439
1964,1500
1964,1458
1964,1490
1964,1514
1964,1312
1964,1327
1964,1326
1964,1329
1964,1331
1964,1332
1964,1333
1964,1334
1964,1335
1964,1336
1964,1347
1964,1351
1964,1357
1964,1364
1964,1410
1994,1500
1994,1512
1994,1514
1980,1400
1980,1500
1980,1431
1980,1413
1980,1418
1980,1415
1980,1417
1980,1420
1980,1431
1980,1437
1980,1429
1980,1435
1980,1397
1980,1445
2014,1267
2014,1412
2014,1424
2014,1426
2014,1387
2014,1495
2014,1415
2014,1421
2014,1418
2014,1425
2014,1343
2014,1360
2014,1403
2014,1420
2014,1440
2014,1423
2014,1410
2014,1317
2014,1446
2014,1452
2014,1462
2014,1451
2014,1469
2014,1505
2014,1514
2014,1521
2014,1498
2014,1510
2014,1455
2014,1453
2014,1446
2014,1507
2014,1514
1997,1390
1997,1397
1997,1472
1997,1511
1997,1514
1997,1458
1997,1490
1997,1386
1997,1396
1997,1409
1997,1325
1997,1341
1997,1347
1997,1337
1997,1326
1997,1330
1997,1344
1997,1343
1997,1345
1997,1347
1997,1348
1997,1349
1997,1350
1997,1433
1997,963
1997,1000
1997,1074
1997,1254
1997,1159
1997,1200
1997,1181
1997,1232
1997,1207
1997,1311
1997,1375
1997,1379
1997,1427
1997,1379
1997,1437
1997,1473
1997,1290
1997,1470
1997,1486
1997,1316
1997,1411
1997,1389
1997,1438
1997,1498
1997,1400
1997,1455
1997,1514
1997,1328
1997,1341
1997,1342
1997,1350
1997,1343
1997,1355
1997,1360
1997,1364
1997,1368
1997,1372
1997,1373
1997,1381
1997,1383
1997,1388
1997,1394
1997,1399
1997,1405
1997,1407
1997,1409
1997,1411
1997,1438
1997,1467
1997,1494
1997,1495
1997,1491
1997,1314
1997,1526
1997,1435
1997,1520
1997,1412
1997,1429
1986,1458
1986,1490
1986,1488
1986,1471
1986,1464
1986,1466
1986,1440
1986,1474
1986,1467
1986,1470
1986,1487
1986,1159
1986,1444
1986,1100
1986,1443
1986,1400
1982,1181
1982,1112
1982,1116
1982,1109
1998,1300
1998,1009
1998,1018
1998,1225
1998,1285
1998,1241
1998,1446
1998,1322
1998,1211
1998,1272
1998,1244
1998,1231
1998,1227
1998,1514
1998,1412
1998,1358
1998,1368
1998,1413
1998,1421
1998,1437
1998,1443
2012,1397
2012,1463
2012,1520
2012,1501
2012,1467
